1,Built-in Functions 内置函数,BIF
2,help(print),查看print的用法
3,dir(__builtins__),查看内置函数列表
4,print('let\'s go'),单引号输出let's go
5,"print(""C:\\now:"")","打印""C:\now:""转义方法"
6,"print(r""C:\now:"")","打印""C:\now:""原始字符串"
7,print('''多行文本'''),打印多行文本自动换行
8,random.randint(1，10),random模块从1-10随机生成一个数
9,"n = int(input(""num:""))",接收键盘输入的一个数字赋值给n
10,type(n),查看n的数据类型（type)
11,isinstance(n，int),判断n是否是整型
12,and、or、not,逻辑操作符
13,elif,else + if 组合
14,n = x if x<y else y,条件表达式求x、y的较小值给n
15,assert 条件,判断当前条件是否正常(断言)
16,"print(""xx""，end="""")",print输出不换行
17,range([start，] stop [，step]),range用法
18,"list.append(""n"")",向列表末尾添加一个元素
19,list.clear(),清空列表
20,list.copy(),复制列表
21,"list.count(""n"")",元素n在列表出现的次数
22,"list.extend([""m""，""n""])",多个元素扩展列表
23,list.index(object [，start] [，stop]),查找元素在列表首次出现的位置
24,"list.insert(i，""n"")",在列表指定位置i插入数据n
25,list.pop(),删除列表最后一个元素并返回该元素(也可以index参数）
26,"list.remove(""n"")",删除列表元素n(仅删除第一个）
27,list.sort(),列表元素从小到大排序
28,list.reverse(),列表反向排序
29,del list[i],删除列表指定位置i的元素
30,del list,删除整个列表
31,list * 3,重复列表所有元素3次
32,"""n"" (not) in list",判断n是否在列表
33,len(list),求列表长度
34,tup = (),创建一个空元组tup
35,del tup,删除元组tup
36,str.capitalize(),字符串首字母改为大写
37,str.casefold(),字符串所有大写改小写
38,str.center(n),字符串居中填充至长度n
39,"str.count(""n""[，start[，end]])",在固定范围内返回字符n在字符串出现的次数
40,"str.encode(encoding=""utf-8""，errors=""strict"")",以指定的格式对字符串进行编码
41,"str.endswith(""sub""[，start[，end]])",在固定范围内判断字符串是否以sub结尾
42,str.expandtabs([size=8]),"将字符串中的""\t""转换为空格，默认8个字符"
43,"str.find(""n""[，start[，end]])",在指定范围内查找字符串，若存在返回index值，若不存在，返回-1
44,"str.index(""n""[，start[，end]])",在指定范围内查找字符串，若存在返回index值，若不存在，则报异常
45,str.isalnum(),如果字符串中至少有一个字符并且所有字符都是字母或数字则True否则False
46,str.isalpha(),如果字符串中至少有一个字符并且所有字符都是字母则True否则False
47,str.isdecimal(),如果字符串里面是十进制数字，则T否则F
48,str.isdigit(),如果字符串只包含数字T/F
49,str.islower(),字符串是纯字母且都为小写T/F
50,str.isnumeric(),如果字符串只包含数字字符（包括汉字数字）T/F
51,str.isspace(),"如果字符串只包含空格（""\t""也算)T/F"
52,str.istitle(),如果字符串是标题化（首字母大写）T/F
53,str.isupper(),字符串是纯字母且都为大写T/F
54,"str.join(""aaabbb"")","以自己为分隔符插入到字符串""aaabbb""中"
55,str.ljust(n),返回一个长度为n、居左对齐的字符串
56,str.rjust(n),返回一个长度为n、居右对齐的字符串
57,str.lower(),将字符串中大所有大写字母转为小写
58,str.upper(),将字符串中大所有小写字母转为大写
59,str.lstrip(),去掉字符串左边的所有空格
60,str.rstrip(),去掉字符串右边的所有空格
61,"str.partition(""sub"")","查找字符串中sub子串存在则以自己为切片将字符串分成三元组，不存在则返回(""str""，""""，"""")"
62,str.replace(old，now[，count]),替换字符串中的字符
63,"str.rfind(""n""[，start[，end]])",类似于find，不过从右查找
64,"str.rindex(""n""[，start[，end]])",类似于index，不过从右查找
65,"str.rpartition(""sub"")",类似于partition，不过从右边开始查找
66,str.split（sub[，count]）,指定次数对字符串进行切片，分隔符sub
67,str.splitlines(),以换行符为分隔符分割字符串为列表
